Currency,Date,Exchange Rate
USD,1/1/2024,323.9902
USD,29/12/2023,323.9233
USD,28/12/2023,324.2268
USD,27/12/2023,325.7409
USD,22/12/2023,326.3519
USD,21/12/2023,326.9669
USD,20/12/2023,326.9605
USD,19/12/2023,326.9249
USD,18/12/2023,326.9856
USD,15/12/2023,326.7231
USD,14/12/2023,326.7793
USD,13/12/2023,327.0966
USD,12/12/2023,327.1808
USD,11/12/2023,326.9314
USD,8/12/2023,326.59
USD,7/12/2023,327.1342
USD,6/12/2023,328.0175
USD,5/12/2023,328.0314
USD,4/12/2023,327.9839
USD,1/12/2023,327.5552
USD,30/11/2023,329.0423
USD,29/11/2023,329.509
USD,28/11/2023,329.0036
USD,27/11/2023,328.7498
USD,24/11/2023,328.7214
USD,23/11/2023,328.4842
USD,22/11/2023,328.3919
USD,21/11/2023,328.0918
USD,20/11/2023,327.9164
USD,17/11/2023,328.0732
USD,16/11/2023,328.6449
USD,15/11/2023,327.3643
USD,14/11/2023,326.894
USD,13/11/2023,327.193
USD,10/11/2023,328.461
USD,9/11/2023,328.41
USD,8/11/2023,327.1236
USD,7/11/2023,327.736
USD,6/11/2023,328.9773
USD,3/11/2023,329.0615
USD,2/11/2023,328.0343
USD,1/11/2023,327.6173
USD,31/10/2023,327.3817
USD,30/10/2023,327.13
USD,27/10/2023,326.5
USD,26/10/2023,326.5647
USD,25/10/2023,327.1063
USD,24/10/2023,325.9017
USD,23/10/2023,325
USD,20/10/2023,324.9747
USD,19/10/2023,324.38
USD,18/10/2023,324.1357
USD,17/10/2023,323.9143
USD,16/10/2023,323.86
USD,13/10/2023,323.7977
USD,12/10/2023,323.848
USD,11/10/2023,323.8082
USD,10/10/2023,323.6026
USD,9/10/2023,323.6117
USD,6/10/2023,323.6946
USD,5/10/2023,323.7722
USD,4/10/2023,323.7654
USD,3/10/2023,323.8
USD,2/10/2023,323.5166
USD,27/9/2023,324.4478
USD,26/9/2023,324.5999
USD,25/9/2023,324.4375
USD,22/9/2023,324.6121
USD,21/9/2023,324.7013
USD,20/9/2023,324
USD,19/9/2023,323.7088
USD,18/9/2023,323.375
USD,15/9/2023,323.3731
USD,14/9/2023,323.3778
USD,13/9/2023,322.3823
USD,12/9/2023,322.2833
USD,11/9/2023,321.6556
USD,8/9/2023,322.3871
USD,7/9/2023,321.995
USD,6/9/2023,321.9978
USD,5/9/2023,320.3778
USD,4/9/2023,319.257
USD,1/9/2023,319.6472
USD,31/8/2023,322.6634
USD,29/8/2023,323.9093
USD,28/8/2023,323.8714
USD,25/8/2023,324.05
USD,24/8/2023,323.9704
USD,23/8/2023,323.935
USD,22/8/2023,323.935
USD,21/8/2023,323.2519
USD,18/8/2023,321.8596
USD,17/8/2023,321.0863
USD,16/8/2023,321.1804
USD,15/8/2023,320.9366
USD,14/8/2023,319.9817
USD,11/8/2023,320.0006
USD,10/8/2023,320.2591
USD,9/8/2023,321.0833
USD,8/8/2023,321.496
USD,7/8/2023,318.4438
USD,4/8/2023,318.4438
USD,3/8/2023,314.0972
USD,2/8/2023,324.6497
USD,31/7/2023,329.3566
USD,28/7/2023,329.2804
USD,27/7/2023,329.3811
USD,26/7/2023,329.4167
USD,25/7/2023,329
USD,24/7/2023,326.75
USD,21/7/2023,325.2204
USD,20/7/2023,324.25
USD,19/7/2023,322.5265
USD,18/7/2023,322.8065
USD,17/7/2023,319.1206
USD,14/7/2023,316.3556
USD,13/7/2023,314.5869
USD,12/7/2023,313.9049
USD,11/7/2023,312.7857
USD,10/7/2023,311.5068
USD,7/7/2023,308.1957
USD,6/7/2023,306.9852
USD,5/7/2023,306.2611
USD,4/7/2023,308.1162
USD,28/6/2023,308.83
USD,27/6/2023,308.1212
USD,26/6/2023,307
USD,23/6/2023,306.9543
USD,22/6/2023,306.9052
USD,21/6/2023,306.125
USD,20/6/2023,305.9231
USD,19/6/2023,309.2
USD,16/6/2023,313.8245
USD,15/6/2023,308.4828
USD,14/6/2023,303.2095
USD,13/6/2023,300.4257
USD,12/6/2023,296.2449
USD,9/6/2023,293.2079
USD,8/6/2023,290.9686
USD,7/6/2023,291.2115
USD,6/6/2023,291.5413
USD,5/6/2023,292.3145
USD,2/6/2023,292.2778
USD,1/6/2023,292.4557
USD,31/5/2023,295.5211
USD,30/5/2023,296.6888
USD,29/5/2023,299.1118
USD,26/5/2023,303.05
USD,25/5/2023,303.2681
USD,24/5/2023,304.707
USD,23/5/2023,305.8837
USD,22/5/2023,307.0783
USD,19/5/2023,305.7839
USD,18/5/2023,307.3664
USD,17/5/2023,310.4042
USD,16/5/2023,312.639
