date,avg_oil_pricing,usd_exchange_rate
1990-08-14,12.95625,130.75
1990-11-05,16.41,130.75
1990-12-26,14.63125,130.75
1991-01-01,14.61875,130.75
1992-05-13,14.74375,130.75
1992-06-28,14.86875,130.75
1992-07-14,14.874999999999998,130.75
1992-08-21,15.624999999999998,130.75
1992-10-03,15.63125,130.75
1992-12-21,15.6375,130.75
1993-06-07,15.64375,130.75
1993-06-11,16.262500000000003,130.75
1993-07-12,16.2875,130.75
1993-08-30,16.3125,130.75
1993-10-14,16.837500000000002,130.75
1993-12-17,16.887500000000003,130.75
1994-02-17,16.9125,130.75
1994-03-28,16.5625,130.75
1994-06-28,16.4,130.75
1995-01-26,17.650000000000002,130.75
1995-02-09,17.900000000000002,130.75
1996-09-28,21.7625,130.75
1999-05-26,21.5125,130.75
2000-02-07,23.5125,130.75
2000-06-12,25.0875,130.75
2000-11-16,26.85,130.75
2000-12-27,28.1875,130.75
2001-04-15,29.65,130.75
2001-11-15,29.15,130.75
2001-12-28,27.65,130.75
2002-02-25,28.4875,130.75
2002-03-22,28.85,130.75
2002-04-22,30.85,130.75
2002-05-21,32.725,130.75
2002-06-21,33.0375,130.75
2002-07-15,30.3375,130.75
2002-07-29,30.3125,130.75
2002-08-15,30.8375,130.75
2002-09-16,31.437500000000004,130.75
2002-10-15,32.962500000000006,130.75
2002-12-16,32.4,130.75
2003-01-16,32.875,130.75
2003-02-14,33.862500000000004,130.75
2003-03-26,34.612500000000004,130.75
2003-04-25,34.862500000000004,130.75
2003-05-20,34.362500000000004,130.75
2003-06-30,33.487500000000004,130.75
2003-08-07,33.9625,130.75
2003-09-04,34.875,130.75
2003-10-05,33.3125,130.75
2003-11-11,33.9125,130.75
2003-12-04,34.7,130.75
2004-01-25,35.225,130.75
2004-02-12,35.975,130.75
2004-07-23,37.975,130.75
2004-08-13,39.8875,130.75
2004-09-25,42.3875,130.75
2005-05-05,45.775,130.75
2005-06-06,49.3375,130.75
2006-04-16,57.3375,130.75
2006-06-11,62.0875,130.75
2006-08-02,64.33749999999999,130.75
2006-10-26,62.4625,130.75
2006-12-27,63.4625,130.75
2007-01-01,62.7625,130.75
2007-01-05,64.0125,130.75
2007-04-19,65.975,130.75
2007-04-28,66.975,130.75
2007-05-12,69.525,130.75
2007-06-30,75.61250000000001,130.75
2007-07-29,79.36250000000001,130.75
2008-01-14,86.61250000000001,130.75
2008-05-25,106.6125,130.75
2008-11-07,87.86250000000001,130.75
2008-12-06,82.86250000000001,130.75
2008-12-30,71.525,130.75
2009-07-02,76.73750000000001,130.75
2009-12-29,72.73750000000001,130.75
2010-09-01,74.8125,130.75
2011-04-01,83.9375,130.75
2011-10-30,91.4375,130.75
2012-02-12,121.525,130.75
2012-12-14,122.775,130.75
2013-02-23,125.15,130.75
2014-09-17,120.4,130.2759
2014-12-05,115.65,131.0182
2015-01-01,110.57777777777778,131.091
2015-01-22,95.6888888888889,131.9
2015-01-29,94.35555555555555,132.194
2015-11-28,93.24444444444444,143.0667
2018-05-11,108.46666666666668,157.8791
2018-06-13,105.02222222222224,159.6587
2018-07-11,108.8,159.3281
2018-08-11,109.13333333333334,160.0374
2018-09-04,112.66666666666669,161.5684
2018-09-11,114.44444444444444,162.3613
2018-10-11,116.88888888888889,171.3034
2018-11-02,115.0,174.4937
2018-11-16,112.77777777777776,176.4816
2021-06-11,118.55555555555556,199.7609
2021-12-20,127.22222222222224,203.0
2021-12-27,132.33333333333334,200.918
2022-03-11,200.66666666666663,251.9685
2022-03-22,206.22222222222223,280.0
2022-04-18,246.44444444444449,313.67
2022-04-22,287.55555555555554,334.8
2022-05-24,367.55555555555554,359.3764
2022-06-26,423.1111111111111,360.3
2022-07-17,416.44444444444446,361.24
2022-08-01,415.3333333333333,361.0
2022-08-21,443.44444444444446,361.0
2022-10-02,435.6666666666667,362.9
2022-10-17,429.55555555555554,363.38
2022-10-17,396.55555555555554,363.38
2022-11-12,434.0,363.5
2022-12-06,399.8888888888889,363.18
2023-01-03,397.1111111111111,363.11
2023-02-01,400.44444444444446,362.14
2023-03-02,380.0,353.6543
2023-03-30,343.3333333333333,325.6324
2023-05-01,305.1111111111111,321.65
2023-06-01,279.55555555555554,292.4557
2023-07-01,277.8888888888889,308.83
2023-08-01,272.55555555555554,329.3566
2023-09-01,280.0,319.6472
2023-10-02,296.8888888888889,323.5166
2023-11-01,302.6666666666667,327.6173
2023-12-01,299.0,327.5552
2024-01-01,309.22222222222223,323.9902
