date,avg_oil_pricing,usd_exchange_rate
2014-09-17,120.4,130.2759
2014-12-05,115.65,131.0182
2015-01-01,110.57777777777778,131.091
2015-01-22,95.6888888888889,131.9
2015-01-29,94.35555555555555,132.194
2015-11-28,93.24444444444444,143.0667
2018-05-11,108.46666666666668,157.8791
2018-06-13,105.02222222222224,159.6587
2018-07-11,108.8,159.3281
2018-08-11,109.13333333333334,160.0374
2018-09-04,112.66666666666669,161.5684
2018-09-11,114.44444444444444,162.3613
2018-10-11,116.88888888888889,171.3034
2018-11-02,115.0,174.4937
2018-11-16,112.77777777777776,176.4816
2021-06-11,118.55555555555556,199.7609
2021-12-20,127.22222222222224,203.0
2021-12-27,132.33333333333334,200.918
2022-03-11,200.66666666666663,251.9685
2022-03-22,206.22222222222223,280.0
2022-04-18,246.44444444444449,313.67
2022-04-22,287.55555555555554,334.8
2022-05-24,367.55555555555554,359.3764
2022-06-26,423.1111111111111,360.3
2022-07-17,416.44444444444446,361.24
2022-08-01,415.3333333333333,361.0
2022-08-21,443.44444444444446,361.0
2022-10-02,435.6666666666667,362.9
2022-10-17,429.55555555555554,363.38
2022-10-17,396.55555555555554,363.38
2022-11-12,434.0,363.5
2022-12-06,399.8888888888889,363.18
2023-01-03,397.1111111111111,363.11
2023-02-01,400.44444444444446,362.14
2023-03-02,380.0,353.6543
2023-03-30,343.3333333333333,325.6324
2023-05-01,305.1111111111111,321.65
2023-06-01,279.55555555555554,292.4557
2023-07-01,277.8888888888889,308.83
2023-08-01,272.55555555555554,329.3566
2023-09-01,280.0,319.6472
2023-10-02,296.8888888888889,323.5166
2023-11-01,302.6666666666667,327.6173
2023-12-01,299.0,327.5552
2024-01-01,309.22222222222223,323.9902
